Movie Title,Director Contribution ($),Genre Contribution ($),Cast Contribution ($),Gross Profit ($)
10 Cloverfield Lane,27990000.0,13995000.0,12440000.0,93300000.0
13 Hours: The Secret Soldiers of Benghazi,7320000.0,3660000.0,1952000.0,24400000.0
2 Guns,21270000.0,10635000.0,5672000.0,70900000.0
21 Jump Street,21975000.0,21975000.0,11720000.0,146500000.0
22 Jump Street,37020000.0,37020000.0,32906666.666666668,246800000.0
300: Rise of an Empire,68280000.0,34140000.0,18208000.0,227600000.0
42,17250000.0,8625000.0,4600000.0,57500000.0
71,-1560000.0,-780000.0,-520000.0,-5200000.0
90 Minutes in Heaven,-60000.0,-60000.0,-20000.0,-200000.0
A Good Day to Die Hard,63810000.0,31905000.0,17016000.0,212700000.0
A Haunted House,17280000.0,8640000.0,4608000.0,57600000.0
A Haunted House 2,6000000.0,6000000.0,1600000.0,20000000.0
A Long Way Down,-4680000.0,-4680000.0,-1560000.0,-15600000.0
A Most Violent Year,-2400000.0,-1200000.0,-640000.0,-8000000.0
A Most Wanted Man,6360000.0,6360000.0,1696000.0,21200000.0
A Thousand Words,-5400000.0,-5400000.0,-1440000.0,-18000000.0
A Walk Among the Tombstones,9240000.0,4620000.0,3080000.0,30800000.0
A Walk in the Woods,8400000.0,4200000.0,3733333.3333333335,28000000.0
Abraham Lincoln: Vampire Hunter,5070000.0,2535000.0,1352000.0,16900000.0
After Earth,34140000.0,34140000.0,11380000.0,113800000.0
Ain't Them Bodies Saints,-900000.0,-900000.0,-240000.0,-3000000.0
Alex Cross,-120000.0,-60000.0,-32000.0,-400000.0
Aloha,-7710000.0,-3855000.0,-2056000.0,-25700000.0
Alvin and the Chipmunks: The Road Chip,43440000.0,21720000.0,11584000.0,144800000.0
American Reunion,55500000.0,55500000.0,14800000.0,185000000.0
American Sniper,146580000.0,146580000.0,48860000.0,488600000.0
American Ultra,-270000.0,-135000.0,-72000.0,-900000.0
Amy,5580000.0,2790000.0,1488000.0,18600000.0
Annabelle,75119999.99999999,75119999.99999999,25040000.0,250399999.99999997
Annie,20640000.000000004,10320000.000000002,5504000.000000002,68800000.00000001
Ant-Man,116820000.0,58410000.0,31152000.0,389400000.0
Argo,56340000.0,56340000.0,15024000.0,187800000.0
"As Above, So Below",0.0,0.0,0.0,0.0
Bad Moms,15630000.0,31260000.0,8336000.0,104200000.0
Barbershop: The Next Cut,10500000.0,10500000.0,2800000.0,35000000.0
Batman v Superman: Dawn of Justice,186810000.0,186810000.0,49816000.0,622700000.0
Batman: The Killing Joke,135000.0,270000.0,90000.0,900000.0
Battle of the Year,-1050000.0,-1050000.0,-280000.0,-3500000.0
Battleship,24900000.0,12450000.0,6640000.0,83000000.0
Beasts of the Southern Wild,6030000.0,3015000.0,4020000.0,20100000.0
Beautiful Creatures,30000.0,15000.0,8000.0,100000.0
Before I Go to Sleep,-2070000.0,-1035000.0,-690000.0,-6900000.0
Ben-Hur,-17580000.0,-17580000.0,-4688000.0,-58600000.0
Beyond the Lights,2280000.0,1140000.0,760000.0,7600000.0
Big Eyes,5790000.0,2895000.0,1544000.0,19300000.0
Black Mass,14040000.0,7020000.0,3744000.0,46800000.0
Blackhat,-15090000.0,-7545000.0,-4024000.0,-50300000.0
Blended,26400000.0,13200000.0,7040000.0,88000000.0
Blue Jasmine,23850000.0,23850000.0,6360000.0,79500000.0
Boyhood,12150000.0,12150000.0,5400000.0,40500000.0
Brick Mansions,13800000.0,13800000.0,6133333.333333333,46000000.0
Bridge of Spies,37650000.0,37650000.0,10040000.0,125500000.0
Brooklyn,15330000.0,7665000.0,4088000.0,51100000.0
Bullet to the Head,-9930000.0,-4965000.0,-2648000.0,-33100000.0
Burnt,4980000.0,2490000.0,1328000.0,16600000.0
By the Sea,-2010000.0,-2010000.0,-536000.0,-6700000.0
Captain America: The Winter Soldier,81660000.0,163320000.0,43552000.0,544400000.0
Captive,240000.0,120000.0,64000.0,800000.0
Carol,8550000.0,8550000.0,2280000.0,28500000.0
Central Intelligence,48660000.0,24330000.0,16220000.0,162200000.0
Cesar Chavez,-990000.0,-990000.0,-330000.0,-3300000.0
Chappie,15930000.0,15930000.0,4248000.0,53100000.0
Chasing Mavericks,-1755000.0,-1755000.0,-1170000.0,-11700000.0
Chef,10500000.0,10500000.0,2800000.0,35000000.0
Chernobyl Diaries,10860000.0,5430000.0,2896000.0,36200000.0
Child 44,-11100000.0,-11100000.0,-2960000.0,-37000000.0
Chronicle,34380000.0,17190000.0,11460000.0,114600000.0
Cloud Atlas,300000.0,300000.0,160000.0,2000000.0
Cloudy with a Chance of Meatballs 2,29445000.0,29445000.0,15704000.0,196300000.0
Concussion,-2010000.0,-1005000.0,-536000.0,-6700000.0
Creed,40080000.0,40080000.0,10688000.0,133600000.0
Criminal,1230000.0,615000.0,328000.0,4100000.0
Crimson Peak,5910000.0,2955000.0,1576000.0,19700000.0
Daddy's Home,25710000.0,51420000.0,22853333.333333332,171400000.0
Danny Collins,-540000.0000000002,-270000.0000000001,-144000.0000000001,-1800000.000000001
Dark Shadows,28650000.0,14325000.0,7640000.0,95500000.0
Dark Skies,6870000.0,3435000.0,3053333.3333333335,22900000.0
Dawn of the Planet of the Apes,142680000.0,71340000.0,38048000.0,475600000.0
Dead Man Down,-3570000.0,-3570000.0,-952000.0,-11900000.0
Deadpool,217380000.0,217380000.0,57968000.0,724600000.0
Declaration of War,1500000.0,750000.0,2000000.0,5000000.0
Deliver Us from Evil,8685000.0,8685000.0,5790000.0,57900000.0
Despicable Me 2,134220000.0,134220000.0,71584000.0,894800000.0
Devil's Due,4485000.0,4485000.0,2392000.0,29900000.0
Diary of a Wimpy Kid: Dog Days,16530000.0,8265000.0,4408000.0,55100000.0
Divergent,61170000.0,30585000.0,16312000.0,203900000.0
Django Unchained,97620000.0,48810000.0,26032000.0,325400000.0
Dolphin Tale 2,6540000.0,6540000.0,1744000.0,21800000.0
Don't Breathe,5520000.0,5520000.0,2453333.3333333335,18400000.0
Dr. Seuss' The Lorax,83640000.0,83640000.0,22304000.0,278800000.0
Dracula Untold,44130000.0,22065000.0,11768000.0,147100000.0
Draft Day,1350000.0,675000.0,360000.0,4500000.0
Dragon Blade,16500000.0,16500000.0,4400000.0,55000000.0
Dumb and Dumber To,17970000.0,35940000.0,11980000.0,119800000.0
Earth to Echo,9690000.0,4845000.0,3230000.0,32300000.0
Eddie the Eagle,6960000.0,3480000.0,3093333.3333333335,23200000.0
Edge of Tomorrow,57750000.0,28875000.0,38500000.0,192500000.0
Elysium,51330000.0,51330000.0,13688000.0,171100000.0
Embrace of the Serpent,420000.0,210000.0,186666.66666666666,1400000.0
End of Watch,12330000.0,6165000.0,3288000.0,41100000.0
